procedure_name_en,procedure_year,procedure_number,instance_date,actual_worth,procedure_area,property_type_id,property_type_en,property_sub_type_id,property_sub_type_en,area_id,area_name_en,actual_area,property_total_value,actual_area_missing
Property Evaluation,2016,3378,2016-06-29T00:00:00.000Z,2909912.0,193.1,3,Unit,60,Flat,351,Al Thanyah Third,193.1,2909912.0,false
Property Evaluation,2016,1942,2016-04-17T00:00:00.000Z,7000000.0,1098.67,1,Land,62,Commercial,352,Al Thanayah Fourth,1098.67,7000000.0,false
Property Evaluation,2016,2972,2016-06-05T00:00:00.000Z,1.2989239E7,1049.34,1,Land,62,Commercial,334,Al Jadaf,1049.34,1.2989239E7,false
Property Evaluation,2015,3372,2015-07-05T00:00:00.000Z,2.410498E7,3611.98,1,Land,65,Industrial,248,Um Ramool,3612.07,2.410498E7,false
Property Evaluation,2016,2285,2016-05-01T00:00:00.000Z,4078829.0,210.52,3,Unit,60,Flat,410,Palm Jumeirah,210.52,4078829.0,false
Property Evaluation,2015,842,2015-03-02T00:00:00.000Z,4.7776392E7,3698.81,1,Land,62,Commercial,443,Al Thanyah First,3698.81,4.7776392E7,false
Property Evaluation,2015,5002,2015-10-05T00:00:00.000Z,2750000.0,181.63,3,Unit,60,Flat,330,Marsa Dubai,181.63,2750000.0,false
Property Evaluation,2015,4469,2015-09-06T00:00:00.000Z,3300000.0,117.54,3,Unit,60,Flat,390,Burj Khalifa,117.54,3300000.0,false
Property Evaluation,2015,3314,2015-07-01T00:00:00.000Z,3.76E7,3716.12,1,Land,65,Industrial,248,Um Ramool,3716.12,3.76E7,false
Property Evaluation,2015,5174,2015-10-19T00:00:00.000Z,930000.0,96.31,3,Unit,60,Flat,441,Al Barsha South Fourth,96.31,930000.0,false
Property Evaluation,2015,2619,2015-06-07T00:00:00.000Z,6750000.0,522.58,1,Land,62,Commercial,244,Al Murqabat,522.58,6750000.0,false
Property Evaluation,2016,5094,2016-10-05T00:00:00.000Z,3.06372032E8,34500.51,1,Land,62,Commercial,437,Al Kheeran,34501.03,3.06372032E8,false
Property Evaluation,2017,198,2017-01-10T00:00:00.000Z,3.53999505E8,185806.0,1,Land,63,Residential,466,Wadi Al Safa 4,185806.0,3.53999505E8,false
Property Evaluation,2017,3421,2017-05-24T00:00:00.000Z,3500000.0,185.81,2,Building,4,Villa,351,Al Thanyah Third,241.68,3500000.0,false
Property Evaluation,2017,3282,2017-05-16T00:00:00.000Z,6500000.0,724.64,1,Land,63,Residential,378,Al Garhoud,724.65,6500000.0,false
Property Evaluation,2017,3688,2017-06-08T00:00:00.000Z,3295174.0,102.01,3,Unit,60,Flat,390,Burj Khalifa,102.01,3295174.0,false
Property Evaluation,2017,1391,2017-02-21T00:00:00.000Z,1619993.0,334.45,1,Land,63,Residential,230,Abu Hail,334.45,1619993.0,false
Property Evaluation,2017,3974,2017-06-13T00:00:00.000Z,5177254.0,1572.2,1,Land,62,Commercial,343,Al Warsan First,1572.2,5177254.0,false
Property Evaluation,2017,3948,2017-06-13T00:00:00.000Z,3300000.0,529.75,1,Land,62,Commercial,441,Al Barsha South Fourth,529.75,3300000.0,false
Property Evaluation,2017,5110,2017-08-15T00:00:00.000Z,3.5999626E7,5574.13,1,Land,16,Sports Club,335,Nad Al Shiba First,5574.13,3.5999626E7,false
Property Evaluation,2017,3355,2017-05-22T00:00:00.000Z,8220000.0,1393.55,1,Land,63,Residential,374,Um Al Sheif,1393.55,8220000.0,false
Property Evaluation,2016,6974,2016-12-20T00:00:00.000Z,2.3454042E7,1210.53,1,Land,62,Commercial,368,Al Barsha First,1210.53,2.3454042E7,false
Property Evaluation,2017,3113,2017-05-09T00:00:00.000Z,8999538.0,835.25,3,Unit,44,Gymnasium,330,Marsa Dubai,213.73,8999538.0,false
Property Evaluation,2017,2464,2017-04-11T00:00:00.000Z,6927668.0,3491.94,1,Land,62,Commercial,467,Wadi Al Safa 5,3656.83,6927668.0,false
Property Evaluation,2017,6118,2017-10-10T00:00:00.000Z,82398.0,75.05,3,Unit,60,Flat,330,Marsa Dubai,75.05,82398.0,false
Property Evaluation,2017,6386,2017-10-17T00:00:00.000Z,6149728.0,519.39,3,Unit,23,Shop,444,Al Hebiah First,519.39,6149728.0,false
Property Evaluation,2016,6284,2016-11-22T00:00:00.000Z,6875005.0,1161.29,1,Land,62,Commercial,361,Muhaisanah Fourth,1161.29,6875005.0,false
Property Evaluation,2017,6537,2017-10-23T00:00:00.000Z,6000000.0,929.03,1,Land,63,Residential,378,Al Garhoud,929.03,6000000.0,false
