accuracy,precision,recall,f1,fold
0.7200590305369509,0.7276021030922716,0.7195048323789578,0.7219728603365136,0
0.7314415437003405,0.7385256007258861,0.7317545334242316,0.7344279759167697,1
0.7174801362088535,0.742330758167809,0.7178382857227201,0.7234083395493851,2
0.721307753433988,0.7284754038016934,0.7211185341530616,0.7233388879884242,3
0.7393574753093427,0.7423722678826522,0.7386938108947453,0.7401327757976882,4
0.722215915540924,0.7268275687100806,0.7210180745438505,0.7226449890479912,5
0.7201725508003178,0.7228540092113577,0.7210856121716845,0.7216071784425558,6
0.7184697468498127,0.722211051063382,0.7186585551496062,0.7196915731651995,7
0.7276648881825406,0.7354054136469133,0.7275766619951617,0.7305559094301501,8
0.7067771597230106,0.7131569277383999,0.7077496520932086,0.7091284079915484,9
