accuracy,precision,recall,f1,fold
0.7609263253490748,0.7774393261358492,0.7606318182642934,0.7636884679011661,0
0.7550510783200908,0.7687585319334364,0.7556220848804706,0.758563607569059,1
0.7461975028376845,0.7650259865550781,0.7457210399310026,0.7500041473284024,2
0.7604722442956068,0.7759010840813437,0.7612214080081198,0.7641680550807207,3
0.762515609036213,0.7626467685876944,0.7614809503242057,0.7617016114864756,4
0.7560449540242933,0.7716908887934961,0.7558183246503422,0.7590269196230487,5
0.7546827108638892,0.7713743598004257,0.7554648914360191,0.7586168809232189,6
0.7570666363945965,0.7708950513732765,0.7564342060230599,0.7595538411622541,7
0.752639346123283,0.7691423696535776,0.7524221470103324,0.7560530785919015,8
0.7456010897945283,0.7640315677370393,0.7451977761898325,0.749857800580136,9
