accuracy,precision,recall,f1,fold
0.691338403905097,0.6861208030760135,0.6902892213588939,0.6877578582856906,0
0.6905788876276958,0.6849969393899441,0.690960464366979,0.6869917708435191,1
0.6914869466515323,0.6887345302303628,0.6917299407808026,0.6900470145225407,2
0.6949710523328414,0.6890097462774887,0.6948361705869073,0.690999773146844,3
0.6922465660120332,0.6892678292507003,0.691465218441968,0.6902599435672846,4
0.690203201271427,0.6840321484306434,0.6883446316724412,0.6856914572294794,5
0.6879327960040867,0.6825568320158881,0.6893643318142574,0.6846313244279596,6
0.6924736065387672,0.6871225658955987,0.6926608112630163,0.6890964689081945,7
0.6995118628675219,0.6930841787080962,0.6995154724853748,0.6949333082274899,8
0.6866840731070496,0.6821048057460176,0.687983074266398,0.6841297713161184,9
