accuracy,precision,recall,f1,fold
0.814848450448405,0.8170175163496571,0.814336133809285,0.8151526264467507,0
0.8043132803632236,0.8062011381559558,0.8047094391079996,0.8050458519908775,1
0.7979568671963677,0.8016455494705359,0.7978625855251645,0.7992297519627751,2
0.8078101941196504,0.8105927784360697,0.8081019437314648,0.8088489844048178,3
0.8100805993869906,0.8132076218846193,0.8094018883695909,0.8106258597227626,4
0.804291065955273,0.8064081600463845,0.8034954380326834,0.8044802383950973,5
0.8069020320127143,0.809880428011634,0.8077930044211549,0.8080644693125564,6
0.8093994778067886,0.8102148868162514,0.8092336178708476,0.8093711658608184,7
0.8014530593710978,0.8033219026824536,0.8013433467037002,0.8018384874580416,8
0.7977068906799863,0.8003936299447315,0.798047626067741,0.7989377032161725,9
